Shift,Begin,End
2019-11-01-1,2019-11-01 07:26:29.250,2019-11-01 07:29:35.000
2019-11-01-1,2019-11-01 07:32:37.000,2019-11-01 07:33:47.000
2019-11-01-1,2019-11-01 07:33:47.000,2019-11-01 07:37:30.250
2019-11-01-1,2019-11-01 07:37:30.250,2019-11-01 07:40:59.500
2019-11-01-1,2019-11-01 07:40:59.500,2019-11-01 07:42:05.000
2019-11-01-1,2019-11-01 08:03:26.500,2019-11-01 08:03:55.250
2019-11-01-1,2019-11-01 08:03:55.250,2019-11-01 08:06:49.250
2019-11-01-1,2019-11-01 08:06:49.250,2019-11-01 08:07:21.250
2019-11-01-1,2019-11-01 08:07:21.250,2019-11-01 08:08:43.000
2019-11-01-1,2019-11-01 08:08:43.000,2019-11-01 08:10:24.000
2019-11-01-1,2019-11-01 08:28:07.000,2019-11-01 08:28:49.750
2019-11-01-1,2019-11-01 08:28:49.750,2019-11-01 08:30:52.750
2019-11-01-1,2019-11-01 08:34:01.000,2019-11-01 08:36:51.750
2019-11-01-1,2019-11-01 08:36:51.750,2019-11-01 08:39:22.000
2019-11-01-1,2019-11-01 08:39:22.000,2019-11-01 08:40:57.250
2019-11-01-1,2019-11-01 08:40:57.250,2019-11-01 08:42:07.750
2019-11-01-1,2019-11-01 08:42:07.750,2019-11-01 08:42:55.750
2019-11-01-1,2019-11-01 09:24:53.500,2019-11-01 09:29:53.250
2019-11-01-1,2019-11-01 09:29:53.250,2019-11-01 09:31:48.250
2019-11-01-1,2019-11-01 09:31:48.250,2019-11-01 09:33:44.250
2019-11-01-1,2019-11-01 09:33:44.250,2019-11-01 09:36:08.750
2019-11-01-1,2019-11-01 09:36:08.750,2019-11-01 09:39:37.500
2019-11-01-1,2019-11-01 09:39:37.500,2019-11-01 09:41:58.500
2019-11-01-1,2019-11-01 09:41:58.500,2019-11-01 09:42:28.750
2019-11-01-1,2019-11-01 09:42:28.750,2019-11-01 09:43:08.250
2019-11-01-1,2019-11-01 09:45:18.250,2019-11-01 09:46:45.000
2019-11-01-1,2019-11-01 09:46:45.000,2019-11-01 09:48:34.750
2019-11-01-1,2019-11-01 09:48:34.750,2019-11-01 09:50:58.500
2019-11-01-1,2019-11-01 09:50:58.500,2019-11-01 09:53:02.750
2019-11-01-1,2019-11-01 09:53:02.750,2019-11-01 09:55:31.500
2019-11-01-1,2019-11-01 09:55:31.500,2019-11-01 09:56:41.250
2019-11-01-1,2019-11-01 09:56:41.250,2019-11-01 09:57:49.500
2019-11-01-1,2019-11-01 09:57:49.500,2019-11-01 09:59:15.500
2019-11-01-1,2019-11-01 10:08:35.750,2019-11-01 10:10:50.750
2019-11-01-1,2019-11-01 10:10:50.750,2019-11-01 10:12:36.500
2019-11-01-1,2019-11-01 10:15:41.500,2019-11-01 10:17:48.750
2019-11-01-1,2019-11-01 10:17:48.750,2019-11-01 10:20:10.250
2019-11-01-1,2019-11-01 10:20:10.250,2019-11-01 10:20:53.000
2019-11-01-1,2019-11-01 10:20:53.000,2019-11-01 10:22:08.000
2019-11-01-1,2019-11-01 10:22:08.000,2019-11-01 10:23:31.250
2019-11-01-1,2019-11-01 10:23:31.250,2019-11-01 10:24:33.000
2019-11-01-1,2019-11-01 10:24:33.000,2019-11-01 10:27:17.500
2019-11-01-1,2019-11-01 10:27:17.500,2019-11-01 10:28:50.750
2019-11-01-1,2019-11-01 10:49:36.250,2019-11-01 10:51:16.500
2019-11-01-1,2019-11-01 10:51:16.500,2019-11-01 10:53:33.500
2019-11-01-1,2019-11-01 10:53:33.500,2019-11-01 10:54:32.500
2019-11-01-1,2019-11-01 10:54:32.500,2019-11-01 10:55:37.500
2019-11-01-1,2019-11-01 10:55:37.500,2019-11-01 10:57:53.000
2019-11-01-1,2019-11-01 10:57:53.000,2019-11-01 11:00:47.000
2019-11-01-1,2019-11-01 11:00:47.000,2019-11-01 11:01:39.000
2019-11-01-1,2019-11-01 11:01:39.000,2019-11-01 11:03:05.500
2019-11-01-1,2019-11-01 11:03:05.500,2019-11-01 11:04:33.750
